"country","year","perc_of_gdp"
"Argentina","1998",15.1
"Argentina","1999",16.6
"Argentina","2000",15.7
"Argentina","2001",16.9
"Argentina","2002",15.2
"Argentina","2003",12.9
"Argentina","2004",12.9
"Argentina","2005",16.1
"Argentina","2006",16.8
"Argentina","2007",17.8
"Argentina","2008",19.2
"Argentina","2009",22.2
"Argentina","2010",19.3
"Argentina","2011",20.6
"Argentina","2012",20.8
"Argentina","2013",21.6
"Argentina","2014",21.3
"Argentina","2015",22.9
"Argentina","2016",21.6
"Argentina","2017",20.6
"Brazil","2002",10.1
"Brazil","2004",11.4
"Brazil","2005",13
"Brazil","2007",17.6
"Brazil","2008",19.1
"Brazil","2009",20
"Brazil","2010",21
"Brazil","2011",21.9
"Brazil","2012",19.7
"Brazil","2013",20.6
"Brazil","2014",20.6
"Brazil","2015",21.5
"Chile","1998",13.4
"Chile","2000",14.3
"Chile","2002",15.1
"Chile","2003",15.5
"Chile","2004",13.5
"Chile","2005",12.6
"Chile","2006",11.7
"Chile","2007",12.6
"Chile","2008",15.1
"Chile","2009",16.5
"Chile","2010",15.2
"Chile","2011",15.2
"Chile","2012",16.5
"Chile","2013",15
"Chile","2014",15.1
"Chile","2015",16.6
"Chile","2016",18.5
"Chile","2017",18.7
"Paraguay","2000",14.7
"Paraguay","2001",12.1
"Paraguay","2002",10.3
"Paraguay","2003",10.6
"Paraguay","2004",9.32
"Paraguay","2007",10.9
"Paraguay","2010",11.2
"Paraguay","2011",12.6
"Paraguay","2012",12.3
"Paraguay","2016",11.9
"Uruguay","1999",10.5
"Uruguay","2000",10
"Uruguay","2001",9.58
"Uruguay","2002",8.01
"Uruguay","2003",6.5
"Uruguay","2004",8.45
"Uruguay","2005",9.91
"Uruguay","2006",10.7
"Uruguay","2011",14.7
"Uruguay","2016",15.9
"Uruguay","2017",16.2
