"country","year","perc_of_gdp"
"Argentina","1998",15.1
"Argentina","1999",16.6
"Argentina","2000",15.7
"Argentina","2001",16.9
"Argentina","2002",15.2
"Argentina","2003",12.9
"Argentina","2004",12.9
"Argentina","2005",16.1
"Argentina","2006",16.8
"Argentina","2007",17.8
"Argentina","2008",19.2
"Argentina","2009",22.2
"Argentina","2010",19.3
"Argentina","2011",20.6
"Argentina","2012",20.8
"Argentina","2013",21.6
"Argentina","2014",21.3
"Argentina","2015",22.9
"Argentina","2016",21.6
"Argentina","2017",20.6
