"CUEANEXO","cantidad_vacantes","anio"
20000200,42,"2015"
20000800,42,"2015"
20000900,35,"2015"
20001000,16,"2015"
20001100,23,"2015"
20001200,40,"2015"
20001800,14,"2015"
20002200,45,"2015"
20002300,28,"2015"
20002400,39,"2015"
20002500,27,"2015"
20003700,112,"2015"
20003701,43,"2015"
20003703,16,"2015"
20003800,62,"2015"
20003900,23,"2015"
20004000,69,"2015"
20004100,24,"2015"
20004200,22,"2015"
20004300,19,"2015"
20004400,190,"2015"
20004600,13,"2015"
20004800,16,"2015"
20005000,47,"2015"
20005100,17,"2015"
20005300,56,"2015"
20005600,23,"2015"
20006300,11,"2015"
20007100,22,"2015"
20007300,25,"2015"
20007500,59,"2015"
20007501,15,"2015"
20007502,8,"2015"
20007600,125,"2015"
20007700,26,"2015"
20007900,137,"2015"
20008400,47,"2015"
20008500,41,"2015"
20008600,6,"2015"
20008900,69,"2015"
20009000,102,"2015"
20009700,48,"2015"
20010300,73,"2015"
20011000,39,"2015"
20011100,62,"2015"
20011200,24,"2015"
20011300,21,"2015"
20011700,49,"2015"
20012000,43,"2015"
20012100,55,"2015"
20012800,18,"2015"
20013000,13,"2015"
20013500,53,"2015"
20013600,49,"2015"
20013700,64,"2015"
20013701,66,"2015"
20013900,36,"2015"
20014000,32,"2015"
20014100,22,"2015"
20014300,119,"2015"
20015200,91,"2015"
20015300,64,"2015"
20015400,48,"2015"
20015500,137,"2015"
20015800,134,"2015"
20015801,41,"2015"
20015900,35,"2015"
20016000,26,"2015"
20016100,15,"2015"
20016300,92,"2015"
20016500,56,"2015"
20016600,22,"2015"
20016700,28,"2015"
20016900,27,"2015"
20017000,25,"2015"
20017700,27,"2015"
20017701,35,"2015"
20017702,29,"2015"
20018100,8,"2015"
20018400,22,"2015"
20018500,26,"2015"
20018600,46,"2015"
20018700,65,"2015"
20018701,49,"2015"
20018702,20,"2015"
20018800,26,"2015"
20018900,45,"2015"
20019200,203,"2015"
20019300,24,"2015"
20019600,46,"2015"
20020200,13,"2015"
20020700,26,"2015"
20020800,27,"2015"
20021200,24,"2015"
20021300,27,"2015"
20021400,19,"2015"
20021500,16,"2015"
20021600,43,"2015"
20021900,32,"2015"
20022000,69,"2015"
20022001,29,"2015"
20022002,20,"2015"
20022003,15,"2015"
20022100,50,"2015"
20023000,17,"2015"
20023600,21,"2015"
20023700,11,"2015"
20023900,20,"2015"
20023901,33,"2015"
20023902,25,"2015"
20024900,57,"2015"
20024901,32,"2015"
20024902,55,"2015"
20024903,24,"2015"
20025000,62,"2015"
20025100,48,"2015"
20025500,81,"2015"
20026800,78,"2015"
20027400,92,"2015"
20027500,109,"2015"
20027800,70,"2015"
20027804,34,"2015"
20027900,55,"2015"
20028100,26,"2015"
20028500,7,"2015"
20028600,18,"2015"
20028900,31,"2015"
20029000,22,"2015"
20029001,25,"2015"
20029002,91,"2015"
20029400,115,"2015"
20029401,72,"2015"
20029600,29,"2015"
20029700,44,"2015"
20029800,45,"2015"
20030200,25,"2015"
20030400,21,"2015"
20030900,41,"2015"
20030902,20,"2015"
20031100,55,"2015"
20031900,13,"2015"
20032400,39,"2015"
20032500,22,"2015"
20032800,44,"2015"
20032900,82,"2015"
20033000,24,"2015"
20033300,10,"2015"
20033600,27,"2015"
20033601,22,"2015"
20033602,18,"2015"
20034100,26,"2015"
20034200,55,"2015"
20034400,47,"2015"
20034401,22,"2015"
20034402,40,"2015"
20034403,25,"2015"
20034900,46,"2015"
20035000,100,"2015"
20035100,22,"2015"
20035200,16,"2015"
20035300,40,"2015"
20035800,16,"2015"
20036200,57,"2015"
20036300,44,"2015"
20036400,165,"2015"
20037900,70,"2015"
20038000,23,"2015"
20038100,138,"2015"
20038200,106,"2015"
20038600,30,"2015"
20039900,18,"2015"
20040000,39,"2015"
20040100,171,"2015"
20040400,97,"2015"
20041000,50,"2015"
20041300,34,"2015"
20041400,55,"2015"
20041700,43,"2015"
20041800,25,"2015"
20041900,36,"2015"
20042100,30,"2015"
20042600,94,"2015"
20042700,45,"2015"
20043300,106,"2015"
20043800,56,"2015"
20043900,51,"2015"
20044100,64,"2015"
20044200,129,"2015"
20044400,59,"2015"
20044401,63,"2015"
20044402,29,"2015"
20044700,20,"2015"
20046100,13,"2015"
20046200,64,"2015"
20046300,25,"2015"
20046700,67,"2015"
20046702,13,"2015"
20046703,41,"2015"
20046900,59,"2015"
20047000,37,"2015"
20047200,53,"2015"
20047300,29,"2015"
20047400,54,"2015"
20047600,30,"2015"
20047700,123,"2015"
20047701,29,"2015"
20047800,110,"2015"
20048100,27,"2015"
20048400,32,"2015"
20048500,31,"2015"
20048700,131,"2015"
20048900,23,"2015"
20049000,14,"2015"
20049100,25,"2015"
20049200,119,"2015"
20049400,30,"2015"
20049500,43,"2015"
20049700,13,"2015"
20049900,19,"2015"
20050000,34,"2015"
20050400,58,"2015"
20050600,154,"2015"
20050900,81,"2015"
20051400,77,"2015"
20051600,41,"2015"
20051900,21,"2015"
20052000,111,"2015"
20052300,53,"2015"
20052400,40,"2015"
20052800,41,"2015"
20053000,49,"2015"
20053300,13,"2015"
20053600,225,"2015"
20054000,26,"2015"
20054200,86,"2015"
20054400,17,"2015"
20054600,17,"2015"
20055400,21,"2015"
20055401,31,"2015"
20055402,22,"2015"
20055403,24,"2015"
20055404,23,"2015"
20055600,28,"2015"
20055700,20,"2015"
20055800,34,"2015"
20055900,94,"2015"
20056300,240,"2015"
20056600,60,"2015"
20056700,103,"2015"
20056900,70,"2015"
20057000,105,"2015"
20057800,52,"2015"
20058000,96,"2015"
20058001,25,"2015"
20058100,12,"2015"
20058200,13,"2015"
20058300,391,"2015"
20058400,167,"2015"
20058900,115,"2015"
20059200,41,"2015"
20059300,108,"2015"
20059500,99,"2015"
20059600,41,"2015"
20059800,21,"2015"
20059900,29,"2015"
20060100,29,"2015"
20060600,58,"2015"
20060602,35,"2015"
20060603,17,"2015"
20060604,16,"2015"
20060700,53,"2015"
20061100,118,"2015"
20061200,183,"2015"
20061500,19,"2015"
20061700,7,"2015"
20061701,40,"2015"
20061702,25,"2015"
20061703,29,"2015"
20061704,29,"2015"
20061800,28,"2015"
20061900,26,"2015"
20062100,74,"2015"
20062200,162,"2015"
20062300,75,"2015"
20062800,34,"2015"
20062900,14,"2015"
20063000,91,"2015"
20063100,49,"2015"
20063400,28,"2015"
20063401,29,"2015"
20063402,43,"2015"
20063500,48,"2015"
20063700,262,"2015"
20063800,109,"2015"
20063900,133,"2015"
20064400,37,"2015"
20064500,32,"2015"
20064600,44,"2015"
20064700,76,"2015"
20064800,20,"2015"
20064900,210,"2015"
20065200,43,"2015"
20065400,29,"2015"
20065600,50,"2015"
20065700,127,"2015"
20065701,21,"2015"
20065900,42,"2015"
20066000,31,"2015"
20066100,13,"2015"
20066200,25,"2015"
20066500,102,"2015"
20066600,94,"2015"
20066700,112,"2015"
20066900,119,"2015"
20067800,83,"2015"
20068000,108,"2015"
20068100,45,"2015"
20068700,34,"2015"
20068900,8,"2015"
20069400,58,"2015"
20069500,35,"2015"
20069502,39,"2015"
20069504,16,"2015"
20069600,414,"2015"
20070100,40,"2015"
20070200,61,"2015"
20070300,186,"2015"
20070500,35,"2015"
20070600,19,"2015"
20070601,28,"2015"
20070602,17,"2015"
20070603,30,"2015"
20070700,40,"2015"
20070800,307,"2015"
20070900,53,"2015"
20071000,26,"2015"
20071100,85,"2015"
20071300,86,"2015"
20071301,27,"2015"
20071302,23,"2015"
20071303,29,"2015"
20071400,73,"2015"
20071700,228,"2015"
20072400,171,"2015"
20072600,20,"2015"
20072700,20,"2015"
20073000,21,"2015"
20073100,17,"2015"
20073500,18,"2015"
20073700,67,"2015"
20073701,55,"2015"
20073702,23,"2015"
20073703,25,"2015"
20074300,85,"2015"
20074400,104,"2015"
20074500,86,"2015"
20074600,279,"2015"
20075100,24,"2015"
20075600,8,"2015"
20075700,19,"2015"
20075701,6,"2015"
20075702,24,"2015"
20075703,27,"2015"
20075704,15,"2015"
20075800,39,"2015"
20076000,28,"2015"
20076100,20,"2015"
20076200,29,"2015"
20076300,23,"2015"
20076400,91,"2015"
20076500,64,"2015"
20077200,50,"2015"
20077400,34,"2015"
20077500,20,"2015"
20077800,31,"2015"
20078000,47,"2015"
20078400,40,"2015"
20078600,29,"2015"
20079000,76,"2015"
20079100,71,"2015"
20079400,15,"2015"
20079700,92,"2015"
20079900,29,"2015"
20080000,71,"2015"
20080001,11,"2015"
20080002,17,"2015"
20080300,34,"2015"
20080500,26,"2015"
20080800,106,"2015"
